# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageFastCacheHits,1732555838076000000,1732555850869000000,3739
FilePageCacheLockFree.totalNativeBytesReclaimed,1732555838076000000,1732555850869000000,0
FilePageCache.uncachedFileAccess,1732555838076000000,1732555850869000000,109
FilePageCache.maxRegisteredFiles,1732555838076000000,1732555850869000000,518
FilePageCacheLockFree.housekeeperTimeSpentMs,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1732555838076000000,1732555850869000000,0
DirectByteBufferAllocator.disposed,1732555838076000000,1732555850869000000,146
FilePageCacheLockFree.totalHeapBytesReclaimed,1732555838076000000,1732555850869000000,0
StorageLockContext.competingThreads.avg,1732555838076000000,1732555850869000000,0.0
StorageLockContext.competingThreads.90P,1732555838076000000,1732555850869000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.nativeBytesInUse,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.heapBytesInUse,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalPagesHandedOver,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalPagesReclaimed,1732555838076000000,1732555850869000000,0
StorageLockContext.competingThreads.max,1732555838076000000,1732555850869000000,0
FilePageCache.maxCacheSizeInBytes,1732555838076000000,1732555850869000000,195035136
FilePageCacheLockFree.totalPagesWriteMs,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalPagesWritten,1732555838076000000,1732555850869000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1732555838076000000,1732555850869000000,41943040
FilePageCacheLockFree.housekeeperTurnsDone,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1732555838076000000,1732555850869000000,0
FilePageCacheLockFree.totalPagesReadMs,1732555838076000000,1732555850869000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1732555838076000000,1732555850869000000,900
writeAction.wait.ms,1732555838076000000,1732555850869000000,1
writeAction.max.wait.ms,1732555838076000000,1732555850869000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1732555838076000000,1732555850869000000,931
DiskQueryRelay.tasksExecuted,1732555838076000000,1732555850869000000,2
writeAction.median.wait.ms,1732555838076000000,1732555850869000000,0
writeAction.count,1732555838076000000,1732555850869000000,3
DiskQueryRelay.tasksRequested,1732555838076000000,1732555850869000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1732555838076000000,1732555850869000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1732555838076000000,1732555850869000000,1
workspaceModel.do.save.caches.ms,1732555838076000000,1732555850869000000,0
jps.global.get.library.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1732555838076000000,1732555850869000000,0
workspaceModel.global.apply.state.to.project.ms,1732555838076000000,1732555850869000000,0
jps.global.get.library.by.name.ms,1732555838076000000,1732555850869000000,0
jps.app.storage.content.writer.save.component.ms,1732555838076000000,1732555850869000000,14
workspaceModel.mutableEntityStorage.put.entity.ms,1732555838076000000,1732555850869000000,2
workspaceModel.load.cache.metadata.from.file.ms,1732555838076000000,1732555850869000000,8
workspaceModel.mutableEntityStorage.modify.entity.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1732555838076000000,1732555850869000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1732555838076000000,1732555850869000000,0
jps.library.entities.serializer.save.entities.ms,1732555838076000000,1732555850869000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1732555838076000000,1732555850869000000,0
jps.global.initialize.library.bridges.after.loading.ms,1732555838076000000,1732555850869000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.instances.count,1732555838076000000,1732555850869000000,5
workspaceModel.sync.entities.ms,1732555838076000000,1732555850869000000,0
jps.app.storage.content.reader.load.component.ms,1732555838076000000,1732555850869000000,10
workspaceModel.moduleManagerBridge.newModule.ms,1732555838076000000,1732555850869000000,0
jps.global.handle.before.change.events.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1732555838076000000,1732555850869000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1732555838076000000,1732555850869000000,0
workspaceModel.global.updates.count,1732555838076000000,1732555850869000000,1
workspaceModel.save.cache.to.file.ms,1732555838076000000,1732555850869000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1732555838076000000,1732555850869000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1732555838076000000,1732555850869000000,0
jps.save.global.entities.ms,1732555838076000000,1732555850869000000,40
jps.library.entities.serializer.load.entities.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1732555838076000000,1732555850869000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1732555838076000000,1732555850869000000,0
jps.load.initial.state.ms,1732555838076000000,1732555850869000000,13
workspaceModel.global.updates.ms,1732555838076000000,1732555850869000000,6
jps.global.initialize.library.bridges.ms,1732555838076000000,1732555850869000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1732555838076000000,1732555850869000000,5
workspaceModel.load.cache.from.file.ms,1732555838076000000,1732555850869000000,92
jps.global.handle.changed.events.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.entities.ms,1732555838076000000,1732555850869000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1732555838076000000,1732555850869000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1732555838076000000,1732555850869000000,7
jps.global.get.libraries.ms,1732555838076000000,1732555850869000000,0
cacheStateStorage.get.duration,1732555838076000000,1732555850869000000,15
cacheStateStorage.set.duration,1732555838076000000,1732555850869000000,6
cacheStateStorage.set.counter,1732555838076000000,1732555850869000000,6
cacheStateStorage.get.counter,1732555838076000000,1732555850869000000,10
Indexing.cache.totalCacheEvicted,1732555838076000000,1732555850869000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1732555838076000000,1732555850869000000,0
Indexing.cache.totalCacheAccesses,1732555838076000000,1732555850869000000,0
Indexing.writesQueuedAvg,1732555838076000000,1732555850869000000,0.0
Indexing.writesQueuedMin,1732555838076000000,1732555850869000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1732555838076000000,1732555850869000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1732555838076000000,1732555850869000000,0
Indexing.cache.totalCacheMisses,1732555838076000000,1732555850869000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1732555838076000000,1732555850869000000,0
Indexing.totalTimeIndexersSleptMs,1732555838076000000,1732555850869000000,0
Indexing.writesQueuedMax,1732555838076000000,1732555850869000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1732555838076000000,1732555850869000000,0
workspaceModel.updates.ms,1732555838076000000,1732555850869000000,0
workspaceModel.pre.handlers.ms,1732555838076000000,1732555850869000000,0
workspaceModel.update.unloaded.entities.ms,1732555838076000000,1732555850869000000,0
workspaceModel.updates.count,1732555838076000000,1732555850869000000,0
workspaceModel.updates.precise.ms,1732555838076000000,1732555850869000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1732555838076000000,1732555850869000000,0
workspaceModel.cachedValue.clear.count,1732555838076000000,1732555850869000000,0
workspaceModel.cachedValueWithParameters.clear.count,1732555838076000000,1732555850869000000,0
workspaceModel.to.snapshot.ms,1732555838076000000,1732555850869000000,0
workspaceModel.check.recursive.update.ms,1732555838076000000,1732555850869000000,0
workspaceModel.cachedValue.from.cache.count,1732555838076000000,1732555850869000000,6
workspaceModel.on.changed.ms,1732555838076000000,1732555850869000000,0
workspaceModel.init.bridges.ms,1732555838076000000,1732555850869000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1732555838076000000,1732555850869000000,0
workspaceModel.full.replace.project.model.ms,1732555838076000000,1732555850869000000,0
workspaceModel.replace.project.model.ms,1732555838076000000,1732555850869000000,0
workspaceModel.on.before.changed.ms,1732555838076000000,1732555850869000000,0
workspaceModel.initializing.ms,1732555838076000000,1732555850869000000,0
workspaceModel.loading.from.cache.ms,1732555838076000000,1732555850869000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1732555838076000000,1732555850869000000,5
workspaceModel.cachedValue.calculated.count,1732555838076000000,1732555850869000000,1
workspaceModel.cachedValue.total.get.count,1732555838076000000,1732555850869000000,7
workspaceModel.loading.total.ms,1732555838076000000,1732555850869000000,8
workspaceModel.collect.changes.ms,1732555838076000000,1732555850869000000,0
